Restaurant,Sales,Average Check,City,State,Meals Served
Carmine's (Times Square),39080335,40,New York,N.Y.,469803
The Boathouse Orlando,35218364,43,Orlando ,Fla.,820819
Old Ebbitt Grill,29104017,33,Washington,D.C.,892830
LAVO Italian Restaurant & Nightclub,26916180,90,New York,N.Y.,198500
Bryant Park Grill & Cafe,26900000,62,New York,N.Y.,403000
Gibsons Bar & Steakhouse,25409952,80,Chicago,Ill.,348567
Top of the World at the STRAT ,25233543,103,Las Vegas,Nev.,246054
Maple & Ash,24837595,99,Chicago,Ill.,210832
Balthazar,24547800,87,New York,N.Y.,519000
Smith & Wollensky,24501000,107,New York,N.Y.,257364
Angus Barn,24268160,75,Raleigh,N.C.,315000
Prime 112,23800000,135,Miami Beach,Fla.,206000
"Joe's Seafood, Prime Steak & Stone Crab",23660000,86,Washington,D.C.,277850
Junior's (Times Square),23640652,23,New York,N.Y.,914500
The Hamilton,23138062,33,Washington,D.C.,700861
"Joe's Seafood, Prime Steak & Stone Crab",22981600,91,Chicago,Ill.,252500
"Joe's Seafood, Prime Steak & Stone Crab",22859400,81,Las Vegas,Nev.,286000
Gibsons Italia,22749232,108,Chicago,Ill.,252962
Komodo,22500000,98,Miami,Fla.,265000
